Database key,Group
1095350,RISD Alumni in Film + Television
897069,Philadelphia- Regional Club
226815,RISD Alumni in Painting
1529015,RISD Alumni in Painting
396677,RISD Women in Business
396677, Boston- Regional Club
396677, RISD Alumni Volunteer Leaders (Clubs and Affinity Groups)
396677, RISD Footwear Affinity
1612912,New York City- Regional Club
1612677,Shanghai- International Club
1612677, RISD in Tech
1612677, RISD Asian Alumni
1612677, New York City- Regional Club
1612677, Los Angeles- Regional Club
1612677, Boston- Regional Club
1612677, RISD Alumni in Fashion
1415800,Shanghai- International Club
1443900,Rhode Island- Regional Club
1594565,New York City- Regional Club
1636116,RISD Alumni in UI/UX
1636116, RISD Alumni in Immersive Experience [VR/AR]
1636116, RISD in Tech
515006,New York City- Regional Club
515006, Boston- Regional Club
515006, Rhode Island- Regional Club
515006, RISD Alumni in Immersive Experience [VR/AR]
515006, Italy- International Club
515006, RISD Alumni in Painting
1146049,RISD Queer Alumni Affinity Group
